"begin","end","starttemp","endtemp","avgexc","year","month","station"
"1944-07-26","1944-07-27",30,31.1,1.257,1944,7,"Prince_George"
"1944-08-30","1944-08-31",25,26.7,1.845,1944,8,"Prince_George"
"1944-09-07","1944-09-12",23.9,28.3,4.06,1944,9,"Prince_George"
"1944-10-15","1944-10-18",17.2,17.8,3.37,1944,10,"Prince_George"
"1944-10-23","1944-10-24",13.9,13.9,1.31,1944,10,"Prince_George"
"1944-10-26","1944-10-28",17.2,16.7,5.217,1944,10,"Prince_George"
"1945-01-10","1945-01-11",4.4,5.6,0.82,1945,1,"Prince_George"
"1945-01-12","1945-01-13",6.1,6.7,1.293,1945,1,"Prince_George"
"1945-05-27","1945-05-30",26.1,25.6,2.647,1945,5,"Prince_George"
"1945-09-12","1945-09-14",23.9,22.8,1.027,1945,9,"Prince_George"
"1945-12-02","1945-12-04",7.2,5.6,2.6,1945,12,"Prince_George"
"1946-05-02","1946-05-04",20.6,23.9,2.363,1946,5,"Prince_George"
"1946-08-19","1946-08-22",28.3,28.3,1.125,1946,8,"Prince_George"
"1946-08-29","1946-09-02",25.6,26.7,2.686,1946,8,"Prince_George"
"1946-09-08","1946-09-11",23.9,26.7,3.087,1946,9,"Prince_George"
"1947-01-23","1947-01-25",5.6,6.1,1.307,1947,1,"Prince_George"
"1947-03-14","1947-03-20",10.6,10.6,2.527,1947,3,"Prince_George"
"1947-05-23","1947-05-26",24.4,25,2.45,1947,5,"Prince_George"
"1947-09-21","1947-09-23",24.4,21.7,1.293,1947,9,"Prince_George"
"1947-09-29","1947-10-01",22.8,19.4,2.4,1947,9,"Prince_George"
"1947-12-23","1947-12-25",4.4,8.3,1.693,1947,12,"Prince_George"
"1948-05-20","1948-05-22",25.6,23.9,1.413,1948,5,"Prince_George"
"1948-05-26","1948-05-29",26.1,28.9,3.34,1948,5,"Prince_George"
"1948-06-15","1948-06-19",27.8,26.7,1.358,1948,6,"Prince_George"
"1949-02-27","1949-03-01",8.9,9.4,1.03,1949,2,"Prince_George"
"1949-05-08","1949-05-11",22.2,25,2.242,1949,5,"Prince_George"
"1949-10-31","1949-11-07",12.8,10.6,2.41,1949,10,"Prince_George"
"1949-11-24","1949-11-27",6.1,7.2,2.067,1949,11,"Prince_George"
"1950-06-11","1950-06-19",26.7,30.6,2.663,1950,6,"Prince_George"
"1950-07-22","1950-07-24",29.4,29.4,1.163,1950,7,"Prince_George"
"1950-08-20","1950-08-22",27.8,27.2,0.767,1950,8,"Prince_George"
"1950-09-14","1950-09-17",22.8,24.4,0.695,1950,9,"Prince_George"
"1951-07-10","1951-07-12",30,32.8,4.263,1951,7,"Prince_George"
"1951-09-03","1951-09-07",24.4,23.9,2.29,1951,9,"Prince_George"
"1951-09-15","1951-09-17",25.6,27.2,3.133,1951,9,"Prince_George"
"1951-10-07","1951-10-09",19.4,20.6,2.16,1951,10,"Prince_George"
"1952-02-09","1952-02-11",7.2,7.2,1.13,1952,2,"Prince_George"
"1952-04-16","1952-04-18",16.7,16.7,0.83,1952,4,"Prince_George"
"1952-05-14","1952-05-17",23.9,23.3,0.99,1952,5,"Prince_George"
"1952-09-22","1952-09-25",22.2,23.3,1.695,1952,9,"Prince_George"
"1952-10-18","1952-10-22",17.2,15,2.156,1952,10,"Prince_George"
"1952-12-12","1952-12-14",10,8.3,5.763,1952,12,"Prince_George"
"1953-05-12","1953-05-15",23.3,23.3,1.592,1953,5,"Prince_George"
"1953-11-10","1953-11-15",11.1,8.9,3.378,1953,11,"Prince_George"
"1954-02-05","1954-02-08",7.2,7.2,2.875,1954,2,"Prince_George"
"1954-10-16","1954-10-19",15.6,15.6,1.797,1954,10,"Prince_George"
"1954-11-18","1954-11-22",7.8,6.1,2.154,1954,11,"Prince_George"
"1956-04-12","1956-04-14",16.1,19.4,2.06,1956,4,"Prince_George"
"1956-05-16","1956-05-19",25.6,28.9,4.37,1956,5,"Prince_George"
"1956-08-12","1956-08-14",28.9,28.9,0.767,1956,8,"Prince_George"
"1956-12-24","1956-12-28",6.1,6.7,2.418,1956,12,"Prince_George"
"1957-09-23","1957-09-26",21.7,23.3,1.447,1957,9,"Prince_George"
"1958-02-21","1958-02-23",8.9,7.8,1.263,1958,2,"Prince_George"
"1958-05-18","1958-05-28",25.6,30,3.356,1958,5,"Prince_George"
"1958-06-05","1958-06-08",27.2,29.4,3.65,1958,6,"Prince_George"
"1958-06-20","1958-06-24",27.2,33.9,3.578,1958,6,"Prince_George"
"1958-07-09","1958-07-11",28.3,29.4,2.36,1958,7,"Prince_George"
"1958-07-15","1958-07-18",29.4,31.1,2.52,1958,7,"Prince_George"
"1958-08-22","1958-08-24",27.2,29.4,1.233,1958,8,"Prince_George"
"1958-10-27","1958-10-31",12.8,15,2.698,1958,10,"Prince_George"
"1958-11-30","1958-12-02",6.1,6.1,1.397,1958,11,"Prince_George"
"1959-11-29","1959-12-02",5.6,5,1.022,1959,11,"Prince_George"
"1960-04-28","1960-04-30",19.4,20.6,0.997,1960,4,"Prince_George"
"1960-07-28","1960-07-30",29.4,31.7,1.833,1960,7,"Prince_George"
"1960-08-08","1960-08-11",28.9,30,2.57,1960,8,"Prince_George"
"1960-09-10","1960-09-13",23.3,23.3,0.825,1960,9,"Prince_George"
"1960-12-11","1960-12-13",6.1,5.6,1.433,1960,12,"Prince_George"
"1961-01-10","1961-01-12",6.7,5,2.783,1961,1,"Prince_George"
"1961-02-04","1961-02-06",6.7,8.9,2.733,1961,2,"Prince_George"
"1961-05-17","1961-05-22",23.9,24.4,2.203,1961,5,"Prince_George"
"1961-06-01","1961-06-06",27.8,27.8,1.977,1961,6,"Prince_George"
"1961-08-11","1961-08-14",29.4,30,1.275,1961,8,"Prince_George"
"1961-08-19","1961-08-21",28.9,27.2,1.7,1961,8,"Prince_George"
"1961-10-13","1961-10-15",21.1,16.7,3.93,1961,10,"Prince_George"
"1962-01-27","1962-02-01",6.7,6.1,1.995,1962,1,"Prince_George"
"1962-03-30","1962-04-03",14.4,16.1,1.296,1962,3,"Prince_George"
"1962-04-12","1962-04-14",18.9,18.9,2.66,1962,4,"Prince_George"
"1962-11-01","1962-11-03",12.2,11.7,1.133,1962,11,"Prince_George"
"1962-12-13","1962-12-16",6.7,7.8,3.692,1962,12,"Prince_George"
"1963-01-05","1963-01-07",5.6,7.2,1.957,1963,1,"Prince_George"
"1963-02-04","1963-02-09",10,7.8,3.45,1963,2,"Prince_George"
"1963-05-19","1963-05-22",23.3,28.3,3.51,1963,5,"Prince_George"
"1963-12-22","1963-12-25",5,7.8,2.145,1963,12,"Prince_George"
"1963-12-30","1964-01-01",7.8,6.1,3.797,1963,12,"Prince_George"
"1965-02-17","1965-02-19",11.1,8.9,3.227,1965,2,"Prince_George"
"1965-06-30","1965-07-03",26.7,28.3,1.72,1965,6,"Prince_George"
"1965-07-30","1965-08-02",31.1,30.6,2.9,1965,7,"Prince_George"
"1965-08-18","1965-08-20",27.8,28.3,1.163,1965,8,"Prince_George"
"1965-10-26","1965-10-28",14.4,13.9,2.15,1965,10,"Prince_George"
"1966-05-05","1966-05-08",26.1,22.2,3.875,1966,5,"Prince_George"
"1966-08-23","1966-08-25",27.8,27.8,1.667,1966,8,"Prince_George"
"1966-12-13","1966-12-15",6.7,5,1.397,1966,12,"Prince_George"
"1966-12-17","1966-12-19",4.4,7.2,1.76,1966,12,"Prince_George"
"1967-08-14","1967-08-19",28.9,28.3,1.43,1967,8,"Prince_George"
"1967-08-28","1967-08-31",26.1,31.7,5.085,1967,8,"Prince_George"
"1967-09-14","1967-09-17",25.6,25.6,3.395,1967,9,"Prince_George"
"1968-01-13","1968-01-15",8.3,8.9,4.267,1968,1,"Prince_George"
"1968-01-20","1968-01-24",12.8,6.7,4.008,1968,1,"Prince_George"
"1968-02-26","1968-03-02",8.3,8.9,1.382,1968,2,"Prince_George"
"1968-03-20","1968-03-22",12.8,14.4,2.457,1968,3,"Prince_George"
"1968-05-17","1968-05-19",23.3,26.1,2.66,1968,5,"Prince_George"
"1968-11-19","1968-11-23",10,6.1,1.914,1968,11,"Prince_George"
"1969-04-08","1969-04-12",15.6,17.2,1.276,1969,4,"Prince_George"
"1969-05-08","1969-05-10",23.9,23.9,3.233,1969,5,"Prince_George"
"1969-06-07","1969-06-11",27.2,29.4,4.378,1969,6,"Prince_George"
"1969-06-14","1969-06-18",27.2,33.3,5.118,1969,6,"Prince_George"
"1969-11-28","1969-12-03",7.2,7.8,2.815,1969,11,"Prince_George"
"1969-12-11","1969-12-14",5.6,6.7,1.997,1969,12,"Prince_George"
"1970-06-01","1970-06-03",29.4,32.8,4.857,1970,6,"Prince_George"
"1970-06-19","1970-06-21",26.7,27.2,1.163,1970,6,"Prince_George"
"1970-09-27","1970-09-29",21.7,22.2,1.3,1970,9,"Prince_George"
"1970-10-01","1970-10-03",21.1,21.7,2.43,1970,10,"Prince_George"
"1971-05-10","1971-05-12",22.8,27.2,4.123,1971,5,"Prince_George"
"1971-07-18","1971-07-20",30.6,29.4,1.933,1971,7,"Prince_George"
"1971-07-29","1971-08-01",31.7,32.8,3.35,1971,7,"Prince_George"
"1971-08-09","1971-08-11",28.9,29.4,1.063,1971,8,"Prince_George"
"1972-05-27","1972-05-30",25.6,26.7,3.71,1972,5,"Prince_George"
"1973-01-22","1973-01-24",5.6,5.6,1.513,1973,1,"Prince_George"
"1973-05-12","1973-05-15",22.8,26.7,3.967,1973,5,"Prince_George"
"1974-08-29","1974-08-31",27.2,24.4,1.587,1974,8,"Prince_George"
"1974-09-13","1974-09-16",22.8,23.3,0.895,1974,9,"Prince_George"
"1975-05-09","1975-05-11",23.3,23.3,2.057,1975,5,"Prince_George"
"1975-07-03","1975-07-11",28.3,29.4,2.472,1975,7,"Prince_George"
"1976-04-28","1976-05-01",19.4,23.9,2.298,1976,4,"Prince_George"
"1976-12-15","1976-12-17",5,6.7,1.653,1976,12,"Prince_George"
"1977-04-03","1977-04-07",16.3,17.9,3.916,1977,4,"Prince_George"
"1977-04-22","1977-04-26",19.4,22.9,6.216,1977,4,"Prince_George"
"1978-02-05","1978-02-08",6.9,7.7,2.05,1978,2,"Prince_George"
"1978-06-01","1978-06-04",26.8,28.4,3.34,1978,6,"Prince_George"
"1978-10-17","1978-10-19",16.3,15,2.163,1978,10,"Prince_George"
"1979-03-19","1979-03-23",10.7,16,2.094,1979,3,"Prince_George"
"1979-04-26","1979-04-29",19.5,23.1,1.62,1979,4,"Prince_George"
"1979-07-16","1979-07-20",30,32.1,2.8,1979,7,"Prince_George"
"1979-09-13","1979-09-15",25.7,25.7,3.627,1979,9,"Prince_George"
"1979-10-10","1979-10-12",18.2,22,2.83,1979,10,"Prince_George"
"1979-11-15","1979-11-17",9.4,7.2,1.693,1979,11,"Prince_George"
"1979-12-19","1979-12-21",5.5,5.2,1.433,1979,12,"Prince_George"
"1979-12-26","1979-12-28",6.9,4.5,1.863,1979,12,"Prince_George"
"1980-05-09","1980-05-12",21.5,24.2,1.642,1980,5,"Prince_George"
"1980-10-02","1980-10-06",19.4,20.8,2.454,1980,10,"Prince_George"
"1980-10-31","1980-11-02",12.3,11.3,1.133,1980,10,"Prince_George"
"1980-11-05","1980-11-08",14.2,9.2,1.922,1980,11,"Prince_George"
"1980-12-13","1980-12-16",5.1,8.4,3.367,1980,12,"Prince_George"
"1980-12-26","1980-12-30",7.2,4.9,2.798,1980,12,"Prince_George"
"1981-01-18","1981-01-23",7.3,5.5,4.117,1981,1,"Prince_George"
"1981-03-08","1981-03-10",10.1,10.5,1.733,1981,3,"Prince_George"
"1981-03-12","1981-03-15",12.1,13.5,2.272,1981,3,"Prince_George"
"1981-08-07","1981-08-11",30.7,32.8,3.936,1981,8,"Prince_George"
"1981-08-17","1981-08-19",28,27.8,0.827,1981,8,"Prince_George"
"1981-09-06","1981-09-08",24.5,28.2,3.917,1981,9,"Prince_George"
"1981-09-15","1981-09-18",28.1,23.7,4.85,1981,9,"Prince_George"
"1981-11-09","1981-11-12",11.5,8.7,4.442,1981,11,"Prince_George"
"1981-11-20","1981-11-22",7.4,5.9,1.39,1981,11,"Prince_George"
"1982-06-17","1982-06-21",28.7,26.2,3.358,1982,6,"Prince_George"
"1982-07-27","1982-07-30",29.3,29.6,1.098,1982,7,"Prince_George"
"1982-10-22","1982-10-25",16.9,14.1,2.337,1982,10,"Prince_George"
"1983-04-17","1983-04-20",18.1,20.5,1.872,1983,4,"Prince_George"
"1983-05-27","1983-05-31",25.4,31.3,7.242,1983,5,"Prince_George"
"1984-01-01","1984-01-05",3.8,3.4,1.512,1984,1,"Prince_George"
"1984-01-23","1984-01-25",6.2,5.9,1.673,1984,1,"Prince_George"
"1984-02-04","1984-02-08",5.9,7.5,0.98,1984,2,"Prince_George"
"1984-03-16","1984-03-18",11.7,10.3,0.8,1984,3,"Prince_George"
"1984-07-24","1984-07-26",29.7,30.7,1.79,1984,7,"Prince_George"
"1985-05-16","1985-05-20",25.4,23.9,2.828,1985,5,"Prince_George"
"1985-07-29","1985-07-31",29.4,31.3,1.867,1985,7,"Prince_George"
"1985-12-04","1985-12-06",5.9,4.5,1.033,1985,12,"Prince_George"
"1986-01-08","1986-01-10",5,9.3,2.76,1986,1,"Prince_George"
"1986-01-12","1986-01-14",5.6,6.2,1.893,1986,1,"Prince_George"
"1986-02-26","1986-02-28",8.7,9.9,2.667,1986,2,"Prince_George"
"1986-03-11","1986-03-13",11.3,10.3,0.86,1986,3,"Prince_George"
"1986-08-27","1986-08-29",28.3,25.3,2.517,1986,8,"Prince_George"
"1986-10-14","1986-10-16",17.6,18.2,2.763,1986,10,"Prince_George"
"1986-12-22","1986-12-25",4.6,4.8,0.47,1986,12,"Prince_George"
"1987-01-10","1987-01-12",5.2,5,1.217,1987,1,"Prince_George"
"1987-02-04","1987-02-06",5.9,9.8,1.867,1987,2,"Prince_George"
"1987-04-01","1987-04-03",16.2,16.2,3.993,1987,4,"Prince_George"
"1987-04-27","1987-04-30",20.3,19.9,1.047,1987,4,"Prince_George"
"1987-05-06","1987-05-08",23.9,22.4,2.6,1987,5,"Prince_George"
"1987-06-28","1987-07-02",28.1,27.6,2.918,1987,6,"Prince_George"
"1987-09-20","1987-09-24",23.9,22.3,2.772,1987,9,"Prince_George"
"1987-09-30","1987-10-02",22.1,21.5,3.9,1987,9,"Prince_George"
"1987-10-29","1987-10-31",12.3,12,0.163,1987,10,"Prince_George"
"1987-11-09","1987-11-11",8.7,10.3,2.193,1987,11,"Prince_George"
"1988-04-13","1988-04-15",19.8,18.4,3.927,1988,4,"Prince_George"
"1988-08-25","1988-08-28",27.9,29.2,2.495,1988,8,"Prince_George"
"1988-09-01","1988-09-05",26.8,25.2,5.332,1988,9,"Prince_George"
"1988-10-03","1988-10-05",20,18.9,2.59,1988,10,"Prince_George"
"1988-12-03","1988-12-05",7.9,8.3,4.1,1988,12,"Prince_George"
"1989-04-18","1989-04-20",16.7,18.7,1.03,1989,4,"Prince_George"
"1989-09-11","1989-09-13",24.1,24.1,1.533,1989,9,"Prince_George"
"1989-12-02","1989-12-04",6.1,7.3,2.733,1989,12,"Prince_George"
"1990-07-10","1990-07-12",28.6,28.2,2.33,1990,7,"Prince_George"
"1990-08-10","1990-08-13",29.9,31.9,3.672,1990,8,"Prince_George"
"1990-09-22","1990-09-24",26.3,23.4,3.427,1990,9,"Prince_George"
"1991-02-01","1991-02-07",7.5,7.5,2.027,1991,2,"Prince_George"
"1991-04-16","1991-04-23",15.9,19.1,2.174,1991,4,"Prince_George"
"1991-08-14","1991-08-18",29.1,30.4,3.216,1991,8,"Prince_George"
"1991-09-24","1991-09-27",21.9,23.2,1.25,1991,9,"Prince_George"
"1991-12-24","1991-12-28",5.4,5.1,2.398,1991,12,"Prince_George"
"1991-12-31","1992-01-02",4.7,5.3,2.097,1991,12,"Prince_George"
"1992-01-26","1992-01-30",5.1,8.4,2.348,1992,1,"Prince_George"
"1992-02-01","1992-02-04",5.8,7,1.997,1992,2,"Prince_George"
"1992-02-26","1992-02-29",9.8,8.6,2.925,1992,2,"Prince_George"
"1992-03-08","1992-03-17",10,10.6,2.268,1992,3,"Prince_George"
"1992-03-20","1992-03-22",12,14.8,3.823,1992,3,"Prince_George"
"1992-04-12","1992-04-16",15.3,18.8,1.576,1992,4,"Prince_George"
"1992-06-24","1992-06-30",27.8,26.3,2.381,1992,6,"Prince_George"
"1992-08-11","1992-08-13",29.6,29.1,1.667,1992,8,"Prince_George"
"1993-01-29","1993-01-31",4.9,7.3,1.057,1993,1,"Prince_George"
"1993-02-05","1993-02-07",8.4,7.6,2,1993,2,"Prince_George"
"1993-03-03","1993-03-06",9.1,10.9,1.062,1993,3,"Prince_George"
"1993-05-11","1993-05-16",24.8,23.4,3.223,1993,5,"Prince_George"
"1993-09-02","1993-09-04",27.8,23.8,1.827,1993,9,"Prince_George"
"1993-09-06","1993-09-10",24.8,24.4,1.562,1993,9,"Prince_George"
"1993-10-01","1993-10-04",19.1,21.9,3.245,1993,10,"Prince_George"
"1994-02-28","1994-03-02",8,10.9,2.597,1994,2,"Prince_George"
"1994-03-25","1994-04-01",12.3,15.1,2.757,1994,3,"Prince_George"
"1994-07-22","1994-07-24",29.3,31.7,1.963,1994,7,"Prince_George"
"1994-12-17","1994-12-24",5.5,6.8,2.295,1994,12,"Prince_George"
"1995-02-01","1995-02-03",6.8,7.2,0.963,1995,2,"Prince_George"
"1995-02-19","1995-02-21",8.7,7.3,2.06,1995,2,"Prince_George"
"1995-03-13","1995-03-16",10.3,10.2,0.25,1995,3,"Prince_George"
"1995-03-27","1995-03-31",12.7,15.3,2.118,1995,3,"Prince_George"
"1995-05-26","1995-05-28",24.4,25.8,1.393,1995,5,"Prince_George"
"1995-06-28","1995-06-30",28.1,28.6,2.663,1995,6,"Prince_George"
"1995-09-07","1995-09-10",23.8,25,2.177,1995,9,"Prince_George"
"1995-09-23","1995-09-26",22.8,21.6,2.197,1995,9,"Prince_George"
"1996-01-10","1996-01-13",5.9,5.7,3.262,1996,1,"Prince_George"
"1996-07-27","1996-07-29",29.3,29.3,0.563,1996,7,"Prince_George"
"1997-01-29","1997-01-31",5.4,5.3,1.357,1997,1,"Prince_George"
"1997-05-11","1997-05-14",21.9,23.4,1.385,1997,5,"Prince_George"
"1997-09-21","1997-09-25",23.3,24.5,2.696,1997,9,"Prince_George"
"1997-12-11","1997-12-17",5.4,4.8,2.093,1997,12,"Prince_George"
"1998-01-24","1998-01-27",5.3,4.6,1.195,1998,1,"Prince_George"
"1998-02-18","1998-02-22",8.6,7.9,1.474,1998,2,"Prince_George"
"1998-04-28","1998-05-02",20.5,26.7,3.576,1998,4,"Prince_George"
"1998-05-23","1998-05-27",25,28,1.696,1998,5,"Prince_George"
"1998-07-26","1998-07-29",31.6,32.7,3.87,1998,7,"Prince_George"
"1999-03-20","1999-03-22",14.2,11.5,3.99,1999,3,"Prince_George"
"1999-10-21","1999-10-24",17.9,13.3,3.762,1999,10,"Prince_George"
"1999-11-28","1999-11-30",7.3,10.6,4.2,1999,11,"Prince_George"
"2001-01-08","2001-01-11",5.6,4.8,1.317,2001,1,"Prince_George"
"2001-11-12","2001-11-15",13,15.7,5.622,2001,11,"Prince_George"
"2002-01-06","2002-01-08",6,6.2,2.727,2002,1,"Prince_George"
"2002-06-12","2002-06-15",25.9,28.1,2.022,2002,6,"Prince_George"
"2002-11-18","2002-11-21",8.9,10.7,4.195,2002,11,"Prince_George"
"2002-12-12","2002-12-16",10.9,7.6,3.174,2002,12,"Prince_George"
"2003-01-01","2003-01-07",4.5,11.3,3.706,2003,1,"Prince_George"
"2003-03-13","2003-03-15",10.9,11.8,1.133,2003,3,"Prince_George"
"2003-07-29","2003-07-31",29.2,32.2,1.467,2003,7,"Prince_George"
"2003-10-03","2003-10-06",19.6,18.9,0.692,2003,10,"Prince_George"
"2003-12-23","2003-12-25",5.3,4.6,1.16,2003,12,"Prince_George"
"2004-03-07","2004-03-09",12.8,9.5,2.1,2004,3,"Prince_George"
"2004-03-28","2004-03-30",13.3,15.5,2.83,2004,3,"Prince_George"
"2004-04-09","2004-04-12",15.3,17.7,3.3,2004,4,"Prince_George"
"2004-05-17","2004-05-19",22.6,22.5,0.46,2004,5,"Prince_George"
"2004-06-18","2004-06-26",26.2,29.9,2.453,2004,6,"Prince_George"
"2004-08-11","2004-08-19",29.4,29.5,1.742,2004,8,"Prince_George"
"2004-10-02","2004-10-04",19.8,18.6,0.96,2004,10,"Prince_George"
"2005-01-22","2005-01-24",6.1,10,3.28,2005,1,"Prince_George"
"2005-01-30","2005-02-03",6.3,6.8,2.336,2005,1,"Prince_George"
"2005-02-23","2005-02-25",10.6,9.4,3.23,2005,2,"Prince_George"
"2005-02-27","2005-03-05",10.8,10.6,3.464,2005,2,"Prince_George"
"2005-03-09","2005-03-15",12.4,10.3,1.411,2005,3,"Prince_George"
"2005-04-19","2005-04-25",18.2,25,4.584,2005,4,"Prince_George"
"2005-05-12","2005-05-14",22.6,23.1,0.557,2005,5,"Prince_George"
"2005-05-26","2005-05-29",24.5,29.7,4.065,2005,5,"Prince_George"
"2005-10-24","2005-10-26",13.9,15,3.047,2005,10,"Prince_George"
"2005-12-21","2005-12-25",4.6,8.1,2.056,2005,12,"Prince_George"
"2006-01-23","2006-01-25",5.4,8.7,1.84,2006,1,"Prince_George"
"2006-04-04","2006-04-08",14.6,17.1,1.372,2006,4,"Prince_George"
"2006-06-30","2006-07-05",27.1,29.3,3.697,2006,6,"Prince_George"
"2006-07-21","2006-07-23",33.5,32.3,4.6,2006,7,"Prince_George"
"2006-09-01","2006-09-08",25.8,25.8,3.526,2006,9,"Prince_George"
"2006-12-11","2006-12-13",6.6,5.6,1.833,2006,12,"Prince_George"
"2007-01-01","2007-01-03",3.7,5.3,1.293,2007,1,"Prince_George"
"2007-04-06","2007-04-08",17.9,20.1,5.16,2007,4,"Prince_George"
"2007-06-01","2007-06-04",25.9,27.1,3.365,2007,6,"Prince_George"
"2007-07-10","2007-07-14",27.1,30.5,4.236,2007,7,"Prince_George"
"2008-01-03","2008-01-05",5.4,4.8,1.657,2008,1,"Prince_George"
"2008-05-15","2008-05-17",23.2,25.2,1.727,2008,5,"Prince_George"
"2008-06-28","2008-07-03",27.8,27.4,2.38,2008,6,"Prince_George"
"2008-08-06","2008-08-08",31.3,30.5,1.563,2008,8,"Prince_George"
"2008-08-15","2008-08-17",28.7,30.9,1.763,2008,8,"Prince_George"
"2008-09-29","2008-10-02",22.1,21.9,3.075,2008,9,"Prince_George"
"2009-07-25","2009-08-02",30,29.7,2.308,2009,7,"Prince_George"
"2009-08-28","2009-08-31",28.2,25.5,1.61,2009,8,"Prince_George"
"2009-09-11","2009-09-15",24.4,23.6,2.256,2009,9,"Prince_George"
"2010-01-10","2010-01-14",6.6,5.4,2.07,2010,1,"Prince_George"
"2010-02-12","2010-02-14",6.5,8,1.09,2010,2,"Prince_George"
"2010-04-15","2010-04-20",20,22.8,4.215,2010,4,"Prince_George"
"2010-07-07","2010-07-09",27.8,28.9,2.26,2010,7,"Prince_George"
"2010-12-22","2010-12-25",5.1,6.4,1.695,2010,12,"Prince_George"
"2011-09-06","2011-09-10",24.9,23,1.937,2011,9,"Prince_George"
"2012-07-16","2012-07-20",28,29.7,0.825,2012,7,"Prince_George"
"2012-08-17","2012-08-20",29.4,28.2,1.445,2012,8,"Prince_George"
"2012-09-19","2012-09-23",22.8,23.8,1.428,2012,9,"Prince_George"
"2013-05-04","2013-05-06",23.5,26.7,3.967,2013,5,"Prince_George"
"2013-06-29","2013-07-01",27.5,33.6,4.13,2013,6,"Prince_George"
"2013-08-09","2013-08-11",28.6,30.4,1.83,2013,8,"Prince_George"
"2013-09-01","2013-09-08",24.8,26.3,2.101,2013,9,"Prince_George"
"2013-09-10","2013-09-15",23.8,29,4.547,2013,9,"Prince_George"
"2013-10-19","2013-10-21",14.2,16.5,1.967,2013,10,"Prince_George"
"2014-07-11","2014-07-16",28.4,30.3,3.692,2014,7,"Prince_George"
"2014-08-13","2014-08-16",31.7,28,1.425,2014,8,"Prince_George"
"2014-10-18","2014-10-20",16.7,15.1,3.53,2014,10,"Prince_George"
"2014-12-08","2014-12-11",6.4,5.1,4.107,2014,12,"Prince_George"
"2015-03-11","2015-03-13",10.9,13.1,2.36,2015,3,"Prince_George"
"2015-05-09","2015-05-14",22.4,23.1,2.09,2015,5,"Prince_George"
"2015-05-20","2015-05-23",23.3,23.9,1.685,2015,5,"Prince_George"
"2015-05-26","2015-05-28",25.5,24.8,0.96,2015,5,"Prince_George"
"2015-07-06","2015-07-11",28.1,28,3.21,2015,7,"Prince_George"
"2015-12-03","2015-12-08",8.3,5,2.772,2015,12,"Prince_George"
"2016-03-04","2016-03-07",11.2,10.4,1.99,2016,3,"Prince_George"
"2016-03-29","2016-04-03",16.1,14.6,3.797,2016,3,"Prince_George"
"2016-05-01","2016-05-03",21.7,21.8,2.83,2016,5,"Prince_George"
"2016-06-27","2016-06-29",26.4,26.3,0.663,2016,6,"Prince_George"
"2016-11-02","2016-11-13",11.4,7.6,3.154,2016,11,"Prince_George"
"2017-01-17","2017-01-20",6.6,5.3,0.767,2017,1,"Prince_George"
"2017-02-13","2017-02-16",6.5,7.4,1.797,2017,2,"Prince_George"
"2017-05-26","2017-05-30",24.5,26.7,1.748,2017,5,"Prince_George"
"2017-08-08","2017-08-10",29.4,33.5,2.893,2017,8,"Prince_George"
"2018-04-26","2018-04-28",21.9,19.7,3.027,2018,4,"Prince_George"
"2018-05-12","2018-05-15",23.2,24.8,2.467,2018,5,"Prince_George"
"2018-06-17","2018-06-22",27,26.2,2.682,2018,6,"Prince_George"
"2018-07-26","2018-07-31",29,29,1.813,2018,7,"Prince_George"
"2018-10-15","2018-10-19",17,17.3,2.216,2018,10,"Prince_George"
"2018-10-23","2018-10-26",14.7,13.5,1.327,2018,10,"Prince_George"
"2018-11-25","2018-11-28",6.2,5.7,0.62,2018,11,"Prince_George"
"2018-12-16","2018-12-18",6.2,5.9,1.82,2018,12,"Prince_George"
"2019-03-17","2019-03-22",11.2,14.5,3.795,2019,3,"Prince_George"
"2019-05-09","2019-05-11",25,26,3.923,2019,5,"Prince_George"
"2019-05-26","2019-05-31",24.2,27.4,2.218,2019,5,"Prince_George"
"2020-09-09","2020-09-11",23.9,22.9,0.987,2020,9,"Prince_George"
"2020-12-03","2020-12-07",4.5,6.6,1.038,2020,12,"Prince_George"
"2021-04-15","2021-04-17",20,21.8,5.2,2021,4,"Prince_George"
"2021-06-25","2021-07-01",28.9,29.7,7.61,2021,6,"Prince_George"
"2021-07-05","2021-07-07",26.8,30.8,2.193,2021,7,"Prince_George"
"2021-10-22","2021-10-24",14.6,12.9,0.417,2021,10,"Prince_George"
"2022-02-05","2022-02-07",6,7.1,0.667,2022,2,"Prince_George"
"2022-07-26","2022-07-31",29.8,30.7,2.097,2022,7,"Prince_George"
"2022-08-10","2022-08-12",30.3,31.3,1.763,2022,8,"Prince_George"
"2022-08-21","2022-08-25",28.3,31,2.48,2022,8,"Prince_George"
"2022-08-30","2022-09-03",27.4,25,2.772,2022,8,"Prince_George"
"2022-09-25","2022-09-27",22.5,24.1,2.467,2022,9,"Prince_George"
"2022-09-29","2022-10-03",21.2,21,1.938,2022,9,"Prince_George"
"2022-10-05","2022-10-09",19.5,19.4,0.894,2022,10,"Prince_George"
"2022-10-13","2022-10-19",19.6,16,4.083,2022,10,"Prince_George"
"2023-04-28","2023-04-30",19.8,24.6,3.63,2023,4,"Prince_George"
"2023-05-02","2023-05-05",22.5,28.8,5.272,2023,5,"Prince_George"
"2023-05-12","2023-05-21",24.4,23.3,3.939,2023,5,"Prince_George"
"2023-06-07","2023-06-09",26.3,28.4,3.3,2023,6,"Prince_George"
